"uk-news  Sport ",1,1|,0|
"uk-news  UK news ",34,2|23|25|26|27|33|36|41|693|694|698|700|707|708|710|716|719|722|727|728|735|736|741|746|1439|1440|1441|1450|2054|2056|2057|2059|2060|2061|,1|22|24|25|26|32|35|40|246|247|251|253|260|261|263|269|272|275|280|281|288|289|294|299|487|488|489|498|614|616|617|619|620|621|
"uk-news  Opinion ",40,3|5|19|43|44|45|50|51|53|55|57|58|60|63|64|704|706|715|717|720|723|737|749|1434|1442|1449|1451|1454|1456|1457|1460|2032|2033|2035|2036|2037|2038|2041|2046|2058|,2|4|18|42|43|44|49|50|52|54|56|57|59|62|63|257|259|268|270|273|276|290|302|482|490|497|499|502|504|505|508|592|593|595|596|597|598|601|606|618|
"uk-news  Society ",25,4|7|9|18|24|49|52|54|61|66|69|690|695|696|697|699|701|725|732|753|1443|1464|1465|2039|2063|,3|6|8|17|23|48|51|53|60|65|68|243|248|249|250|252|254|278|285|306|491|512|513|599|623|
"uk-news  Business ",15,6|8|17|20|21|22|691|702|712|733|739|750|1435|1444|1455|,5|7|16|19|20|21|244|255|265|286|292|303|483|492|503|
"uk-news  Politics ",25,10|14|29|30|35|38|40|709|711|713|718|724|740|742|743|745|1433|1437|1438|1448|1452|1458|1463|2049|2051|,9|13|28|29|34|37|39|262|264|266|271|277|293|295|296|298|481|485|486|496|500|506|511|609|611|
"uk-news  World news ",10,11|32|48|70|729|730|1436|1453|2052|2064|,10|31|47|69|282|283|484|501|612|624|
"uk-news  Life and style ",6,12|46|62|1447|2044|2055|,11|45|61|495|604|615|
"uk-news  Environment ",10,13|721|726|748|751|1445|1459|1461|1462|2065|,12|274|279|301|304|493|507|509|510|625|
"uk-news  Technology ",3,15|68|734|,14|67|287|
"uk-news  Art and design ",1,16|,15|
"uk-news  Culture ",1,28|,27|
"uk-news  Television & radio ",5,31|47|67|752|2045|,30|46|66|305|605|
"uk-news  Media ",4,34|39|692|731|,33|38|245|284|
"uk-news  Global ",2,37|2042|,36|602|
"uk-news  News ",4,42|65|2034|2040|,41|64|594|600|
"uk-news  Film ",1,56|,55|
"uk-news  Music ",3,59|705|738|,58|258|291|
"world  US news ",14,71|73|77|89|102|108|112|121|854|860|1473|1474|1489|2071|,70|71|75|83|91|92|96|105|375|380|521|522|532|629|
"world  World news ",63,74|75|76|78|79|81|86|87|88|91|93|99|101|111|114|116|117|119|123|126|127|128|130|131|817|838|847|853|856|858|859|862|865|866|869|870|874|875|876|1469|1471|1472|1479|1480|1487|1488|1490|1491|1494|1495|2067|2072|2074|2075|2077|2080|2083|2084|2086|2088|2091|2092|2094|,72|73|74|76|77|78|80|81|82|84|85|89|90|95|98|100|101|103|107|110|111|112|114|115|364|368|371|374|376|378|379|382|385|386|389|390|393|394|395|517|519|520|525|526|530|531|533|534|536|537|627|630|632|633|635|638|641|642|644|646|649|650|652|
"world  Business ",2,85|867|,79|387|
"world  Global Development Professionals Network ",2,94|1470|,86|518|
"world  Global development ",7,96|129|833|845|850|1478|1484|,87|113|367|370|372|524|528|
"world  Science ",1,98|,88|
"world  Media ",1,109|,93|
"world  Opinion ",10,110|125|863|864|873|1466|2082|2085|2087|2093|,94|109|383|384|392|514|640|643|645|651|
"world  UK news ",5,113|857|868|2081|2089|,97|377|388|639|647|
"world  Politics ",4,115|118|1493|2090|,99|102|535|648|
"world  Society ",4,120|818|852|2073|,104|365|373|631|
"world  Sport ",1,122|,106|
"world  Football ",1,124|,108|
"sport  US news ",19,132|133|161|178|754|755|757|758|787|788|805|1498|1503|1509|1529|2110|2111|2124|2132|,116|117|128|136|307|308|310|311|335|336|352|538|539|540|552|659|660|665|666|
"sport  World news ",24,136|148|162|165|166|182|756|761|762|763|764|765|766|784|794|813|814|815|1526|1556|2095|2096|2097|2152|,118|119|129|130|131|140|309|312|313|314|315|316|317|334|341|360|361|362|551|567|653|654|655|671|
"sport  Sport ",13,149|151|154|772|773|775|776|1513|1514|1515|1516|1521|2114|,120|122|125|323|324|326|327|542|543|544|545|548|661|
"sport  Film ",8,150|170|769|770|783|802|804|1531|,121|133|320|321|333|349|351|554|
"sport  Football ",7,152|153|774|777|1512|1517|1518|,123|124|325|328|541|546|547|
"sport  Opinion ",10,156|768|778|779|780|782|798|1523|2119|2120|,126|319|329|330|331|332|345|549|662|663|
"sport  Life and style ",10,159|179|183|184|185|795|812|1549|2135|2149|,127|137|141|142|143|342|359|565|667|670|
"sport  Technology ",5,169|796|1532|1541|1545|,132|343|555|560|562|
"sport  Business ",3,171|789|797|,134|337|344|
"sport  Society ",2,175|2100|,135|657|
"sport  Music ",7,180|792|799|806|1547|2123|2139|,138|339|346|353|563|664|668|
"sport  Television & radio ",5,181|803|1539|1548|2144|,139|350|558|564|669|
"sport  Fashion ",2,186|809|,144|356|
"football  Football ",142,189|190|191|192|193|195|196|198|199|200|201|202|203|204|205|206|207|209|210|211|212|213|214|215|216|217|218|219|220|221|222|223|225|226|227|229|230|231|232|233|234|235|236|237|238|239|877|879|880|881|882|884|885|887|888|889|890|891|892|893|894|895|896|897|898|899|900|901|902|903|904|905|906|907|908|909|910|911|912|913|914|915|916|917|918|919|920|921|922|923|924|925|926|927|928|929|930|1557|1558|1559|1560|1561|1562|1563|1566|1567|1568|1569|1570|1571|1572|1573|1574|1575|1583|2155|2156|2157|2158|2159|2160|2161|2162|2163|2164|2165|2166|2167|2168|2169|2170|2171|2172|2173|2174|2175|2176|2177|2178|2179|2180|2181|,145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176|177|178|179|181|182|183|184|185|186|187|188|189|190|191|396|397|398|399|400|401|402|403|404|405|406|407|408|409|410|411|412|413|414|415|416|417|418|419|420|421|422|423|424|425|426|427|428|429|430|431|432|433|434|435|436|437|438|439|440|441|442|443|444|445|446|568|569|570|571|572|573|574|575|576|577|578|579|580|581|582|583|584|585|672|673|674|675|676|677|678|679|680|681|682|683|684|685|686|687|688|689|690|691|692|693|694|695|696|697|698|
"football  Sport ",1,228|,180|
"opinion  Sport ",1,262|,192|
"culture  Environment ",1,334|,193|
"fashion  Business ",9,473|481|485|501|1186|1198|2425|2429|2439|,194|202|206|222|461|473|706|710|720|
"fashion  Fashion ",66,474|475|476|477|478|479|480|482|483|484|487|488|489|490|495|496|499|500|502|503|505|506|507|508|509|510|512|513|514|515|517|518|519|520|521|1176|1178|1180|1183|1184|1187|1189|1190|1192|1193|1194|1195|1196|1200|1201|2422|2426|2428|2430|2431|2432|2434|2435|2437|2438|2440|2441|2443|2444|2446|2447|,195|196|197|198|199|200|201|203|204|205|208|209|210|211|216|217|220|221|223|224|226|227|228|229|230|231|233|234|235|236|238|239|240|241|242|452|453|455|458|459|462|464|465|467|468|469|470|471|475|476|703|707|709|711|712|713|715|716|718|719|721|722|724|725|727|728|
"fashion  Film ",3,486|2427|2445|,207|708|726|
"fashion  Life and style ",6,491|492|493|504|1181|2436|,212|213|214|225|456|717|
"fashion  Politics ",3,494|516|2423|,215|237|704|
"fashion  Opinion ",1,497|,218|
"fashion  Global development ",1,498|,219|
"fashion  Sport ",1,511|,232|
"uk-news  Science ",2,703|2047|,256|607|
"uk-news  Stage ",1,714|,267|
"uk-news  Education ",3,744|2050|2053|,297|610|613|
"uk-news  Money ",3,747|2048|2062|,300|608|622|
"sport  Culture ",2,767|791|,318|338|
"sport  Global Development Professionals Network ",1,771|,322|
"sport  Cities ",1,793|,340|
"sport  Environment ",2,800|1524|,347|550|
"sport  Stage ",2,801|1534|,348|556|
"sport  Books ",4,807|808|1535|1542|,354|355|557|561|
"sport  Science ",2,810|1540|,357|559|
"sport  Travel ",2,811|1551|,358|566|
"world  Environment ",3,816|2076|2078|,363|634|636|
"world  Public Leaders Network ",1,829|,366|
"world  Books ",2,839|861|,369|381|
"world  Music ",2,871|2079|,391|637|
"opinion  Politics ",1,936|,447|
"opinion  World news ",2,991|1648|,448|586|
"culture  US news ",1,992|,449|
"business  Politics ",1,1058|,450|
"lifeandstyle  Politics ",1,1119|,451|
"fashion  Technology ",2,1179|1199|,454|474|
"fashion  Money ",1,1182|,457|
"fashion  Media ",1,1185|,460|
"fashion  Travel ",1,1188|,463|
"fashion  World news ",1,1191|,466|
"fashion  Guardian Sustainable Business ",2,1197|2448|,472|729|
"environment  Politics ",1,1252|,477|
"environment  Sport ",1,1267|,478|
"technology  Politics ",2,1312|1917|,479|591|
"travel  Politics ",1,1374|,480|
"uk-news  Housing Network ",1,1446|,494|
"world  Film ",2,1467|1475|,515|523|
"world  Television & radio ",1,1468|,516|
"world  Cities ",1,1483|,527|
"world  Guardian Sustainable Business ",1,1486|,529|
"sport  Australia news ",1,1530|,553|
"culture  Politics ",1,1653|,587|
"culture  Society ",1,1664|,588|
"culture  Art and design ",1,1673|,589|
"lifeandstyle  US news ",1,1776|,590|
"uk-news  Travel ",1,2043|,603|
"world  Money ",1,2066|,626|
"world  Culture ",1,2070|,628|
"sport  Politics ",1,2099|,656|
"sport ",1,2101|,658|
"opinion  US news ",1,2197|,699|
"opinion  Opinion ",1,2206|,700|
"opinion  Technology ",1,2215|,701|
"lifeandstyle  Music ",1,2397|,702|
"fashion  Society ",1,2424|,705|
"fashion  Guardian Small Business Network ",1,2433|,714|
"fashion  Books ",1,2442|,723|
"environment  Music ",1,2484|,730|
