docID,"life and style","life and style",film,film,"life and style","life and style","life and style","television & radio",film,"life and style","television & radio",film,technology,"life and style","television & radio",technology,technology,"life and style","life and style","life and style",film,"life and style","television & radio",technology,film,film,film,"television & radio",technology,"television & radio","television & radio","life and style","life and style",film,"life and style","life and style","television & radio","life and style","life and style",technology,"life and style",film,"life and style",technology,"television & radio",technology,technology,"life and style",technology,"television & radio",film,film,film,technology,"life and style",film,"life and style","television & radio"
"life and style",1,0.021397725265849,0.011435487667378,0.021075276249016,0.024810713736783,0.012354265607615,0.036278588809335,0.011884534697033,0.038651725114039,0.01557063645486,0.01156193650039,0.012036611145414,0.017505114804895,0.029696481675506,0.013138261063782,0.025421096363945,0.017189653432206,0.0056312748941274,0.021391605073794,0.017379771698188,0.011228191423653,0.031272743395227,0.026614187138845,0.0073293784086105,0.0075835098560669,0.021064123831085,0.01527045744588,0.016694651544993,0.0077247054624556,0.014814664404073,0.010961562094254,0.019521624850162,0.0086433426163746,0.018921836319809,0.032985568040346,0.021565440921896,0.011126575972965,0.0067588657569639,0.013984024760879,0.012848626210429,0.019675966277967,0.0087089909082769,0.016029561944627,0.037470500445997,0.012052078586002,0.01017192407388,0.012127945560787,0.029624672679915,0.010420485053984,0.014020050943806,0.021260739867101,0.011674868752396,0.028115073964061,0.016171161757171,0.0089548344633509,0.011050436339997,0.01394171799965,0.026342704129838
"life and style",0.021397725265849,1,0.018187550883543,0.011704548142971,0.018740942534863,0.0265746499057,0.0024528642810601,0.0069198848322202,0.030693538046133,0.028609671371928,0.0075928684088597,0.038320468445087,0.017144546229171,0.014035923173315,0.017684903079232,0.020503625997311,0.012833150547306,0.023742841866212,0.026305258608532,0.08221556170274,0.023989009694084,0.027976738731659,0.030348977542425,0.011234907041541,0.016206864990432,0.019118141447538,0.044113823505793,0.033620778853282,0.01843954533982,0.013537516721468,0.011784279304899,0.041792841747867,0.023347211019464,0.026477729526062,0.013375728570882,0.020559146281292,0.023356004560168,0.051848346811575,0.023659897141008,0.056239808187514,0.02297981485947,0.0074650305135962,0.011808494919719,0.032368809106975,0.020336103693377,0.034862736395471,0.015935915543513,0.027887156391589,0.014367091107343,0.02158908556119,0.031199135334668,0.0036908417420802,0.025154055687399,0.036501401848073,0.028574994173989,0.013241571909795,0.019839003304895,0.017381324146738
film,0.011435487667378,0.018187550883543,1,0.031129378626263,0.018686005049046,0.0093712722699451,0.012192981003425,0.02195894998766,0.074733327297787,0.023663796161322,0.022186334178311,0.084351448624491,0.027713055632727,0.020980016440554,0.01848241781041,0.029325243595584,0.012831223919392,0.03461525771469,0.037704946212264,0.0071290981412272,0.035484275938777,0.05408389345701,0.052608931465081,0.0052769875392561,0.04346358893107,0.055299617536158,0.039667940351084,0.038386547644125,0.026503379053407,0.023819339900446,0.013621478142925,0.028849483656467,0.014298355953954,0.044665858261061,0.013058332951222,0.01179668496798,0.011814716934873,0.032990063328387,0.010807525016738,0.0092853721454476,0.039843412120309,0.060457985455675,0.018488523897712,0.025592495286968,0.032756797814832,0.021082345017385,0.018470313195884,0.017778902982892,0.014932974269725,0.030047552454191,0.14912590836313,0.044298443129838,0.045074214420477,0.0220302386753,0.054406998757987,0.052788960363679,0.030090490817835,0.033411732220454
film,0.021075276249016,0.011704548142971,0.031129378626263,1,0.041257206132058,0.027218918312016,0.009375088596071,0.0060198968044629,0.057919423379898,0.020225305000315,0.009178342156007,0.024255637115805,0.011246032380103,0.034438003663469,0.0038083661043319,0.020348675977424,0.0088928696588449,0.011323935768777,0.023095750535624,0.010753997470011,0.016751744924671,0.0085582048004455,0.049179705001338,0.0041882400913093,0.089872817729805,0.027660047383835,0.032552063426202,0.03140328061809,0.0088013420462965,0.014829187243207,0.020030046453256,0.014740144167387,0.0082996948004396,0.020183714354999,0.0180972606259,0.01229507175535,0.033002039859197,0.023237816741249,0.037508295548471,0.01551676341776,0.030854305030419,0.010868537893325,0.01284955336999,0.010842269846561,0.019640635310777,0.013486438692617,0.011778798164707,0.026362073443557,0.0057483191325232,0.028358974552434,0.037392294603539,0.0046407871188453,0.041081675111987,0.031863176309417,0.011482139000715,0.01858418654516,0.016372717256233,0.025937685018653
"life and style",0.024810713736783,0.018740942534863,0.018686005049046,0.041257206132058,1,0.025975905946205,0.0062270645478578,0.016454546516731,0.06450472473335,0.020894501271245,0.012583172282369,0.020557291057138,0.019349318387069,0.032810473033556,0.017889150186926,0.035504221333013,0.033317235184618,0.017072198012697,0.047650623222669,0.050010633216444,0.015679093884358,0.028842269658774,0.042436771309513,0.026427940140991,0.0066928534317504,0.034235678837547,0.046908970434016,0.034562137601182,0.030560325713715,0.029844787917638,0.025319580643218,0.036929229428252,0.045465585219556,0.049387034766195,0.018957646810324,0.019134223882386,0.036080111726188,0.03735696362628,0.036462181116403,0.01522450790026,0.044847585808787,0.012073513596762,0.023121749535052,0.024098714925061,0.028470393352559,0.033023873671748,0.014348244571104,0.020538051864036,0.018795649939225,0.038439484161781,0.057349816372726,0.011960536405136,0.045010298917922,0.03727273375394,0.035706600644105,0.021490459332732,0.012093250977776,0.03552233931409
"life and style",0.012354265607615,0.0265746499057,0.0093712722699451,0.027218918312016,0.025975905946205,1,0,0.0029079226600205,0.042233354157611,0.021273764200455,0.022232682667532,0.060227719410529,0.052737949304527,0.036886984274967,0.009040535941171,0.010464233700945,0.035076987806573,0.019606452472129,0.069694846803984,0.042957225011289,0.037531421909155,0.026152920634041,0.032881790520408,0.0065564964373008,0.0098365325597396,0.042406896478878,0.0756887887,0.034443102453749,0.032069145835127,0.026271997466732,0.033104146906071,0.020445628686571,0.019522211524563,0.040666921452938,0.019187879909533,0.013832887961826,0.037225629246023,0.025546751683615,0.0282681872873,0.049980182344598,0.068536197993504,0.022629539071443,0.012350530086365,0.019685914575756,0.029137246063729,0.025076421394547,0.022275528540105,0.0084796613909485,0.0084553430859138,0.083463172665456,0.039913862521918,0.017983374524936,0.015412630731302,0.045078044904013,0.013622576346343,0.013309944951334,0.01788393903445,0.026763458686397
"life and style",0.036278588809335,0.0024528642810601,0.012192981003425,0.009375088596071,0.0062270645478578,0,1,0.00079256256927863,0.0057103118552374,0.010246292920962,0.0014374591034378,0.002687236451701,0.0055952406866215,0.0037848232226022,0.011199675642652,0.00072978402201952,0.0024245733157476,0.0042338470857696,0.00027005128555893,0.0016619500911786,0,0.010423884372924,0.013542067405132,0.0016367613135568,0.00081057862514166,0.0029166788032045,0.0039275325410531,0.0088723279802826,0.00063564944787275,0.0054226743132986,0.00012679444534997,0.013830969813977,0.00053451478925811,0.0060063378370826,0.00092943696298447,0.067328166482723,0.0016854985401965,0.00088128517012262,0.0059906463166296,0.003590424893783,0.0041167245747433,0,0.0016199728863289,0.0056690244899635,0.0048292369824439,0.0041140944758943,0.003253066538877,0.013290995274662,0.00016368776937622,0.0017249807802944,0.0081750642783937,0.0054447107640184,0.0037577248674938,0.0075311558335298,0.0043414332575592,0.0027848800461091,0.019912921514433,0.004912342466354
"television & radio",0.011884534697033,0.0069198848322202,0.02195894998766,0.0060198968044629,0.016454546516731,0.0029079226600205,0.00079256256927863,1,0.042093651624815,0.015398705653304,0.25071840300956,0.014836816664589,0.0061519951403925,0.014948249024913,0.014408543683116,0.0091065781811764,0.0094897621588376,0.096074026990365,0.0163973847504,0.0053560972815804,0.011745840176854,0.024489943171467,0.02691068324101,0.00074466976235726,0.004973143141798,0.015603961557938,0.016299097559173,0.021866380444417,0.0065479629785104,0.011736625347613,0.010884101934827,0.014384503172724,0.021949362525336,0.014856242511382,0.0098331649151708,0.007499082713561,0.018595083967022,0.0059875560657789,0.026861706351377,0.010135519216208,0.023296064608633,0.0027227621052739,0.0078081163699914,0.013181831847918,0.046178787496214,0.011071934391444,0.0073894167408288,0.010860041535175,0.020746135380632,0.012335643957639,0.015337826724211,0.0045087177252147,0.0123314365053,0.020639354028983,0.012282642541051,0.022477444424613,0.0057765557884426,0.030228736470006
film,0.038651725114039,0.030693538046133,0.074733327297787,0.057919423379898,0.06450472473335,0.042233354157611,0.0057103118552374,0.042093651624815,1,0.043284695323539,0.054148083879761,0.088773922401719,0.049069099797288,0.098852158069466,0.044018862223856,0.037883912291413,0.034301270840965,0.039575740107633,0.082433379657277,0.027792967956744,0.059536432319777,0.034735346493952,0.15431619532854,0.010083166722198,0.096311174767782,0.09096486275732,0.093355525953872,0.09771134060776,0.034348270014807,0.10317976843027,0.070909109379237,0.044637524669451,0.057729041570134,0.13383398746109,0.02931236138665,0.028131685963585,0.16852133909765,0.058447834536781,0.087738280530633,0.031395847614068,0.095834933874307,0.10616921078967,0.025258063383865,0.036593097030163,0.076847775708761,0.034005650354201,0.021495427606256,0.030367047671368,0.022840764112243,0.090071815301729,0.14806632556601,0.032461182449506,0.10167998008947,0.077300048010267,0.045943559423546,0.085060582342799,0.032723868008668,0.10278708072837
"life and style",0.01557063645486,0.028609671371928,0.023663796161322,0.020225305000315,0.020894501271245,0.021273764200455,0.010246292920962,0.015398705653304,0.043284695323539,1,0.0043085721644955,0.015502859688923,0.011523063518625,0.015602485217204,0.0083405254623477,0.032213505898417,0.009890261129038,0.014319377204874,0.046631602645679,0.03289650612995,0.019056650394915,0.048651909511818,0.028563252134587,0.022252988902913,0.021906765716767,0.016971055354524,0.029239061737543,0.016755921410706,0.016612303368017,0.018062945811918,0.022691982009131,0.03428679982152,0.0090720367045335,0.026825117300362,0.022204685834349,0.020072475848922,0.020885603298324,0.020638997900125,0.029284228122474,0.029809919461481,0.08048526438554,0.013683490916211,0.024988904337142,0.017306326039223,0.013358913133464,0.046953575674276,0.016620978425615,0.033207406335316,0.03164617669733,0.017631624074577,0.023256178188216,0.0058893931366602,0.017350568579096,0.026617869092549,0.011038989123972,0.018122315874017,0.0095708890956007,0.032453824856138
"television & radio",0.01156193650039,0.0075928684088597,0.022186334178311,0.009178342156007,0.012583172282369,0.022232682667532,0.0014374591034378,0.25071840300956,0.054148083879761,0.0043085721644955,1,0.036948607841378,0.0063068871109172,0.01455559593343,0.026470398468001,0.015295069808733,0.033854898409421,0.064356419004181,0.051772347943516,0.0033219771631641,0.020052109616294,0.084684792211858,0.039733400840521,0.0030471679667615,0.0055891853015836,0.019716784765827,0.0095693597290119,0.044861153524025,0.0024963998595362,0.016748577393599,0.03104105241717,0.016290384982389,0.007236619315508,0.029765307443396,0.0037103026296197,0.011186938323621,0.059095197169421,0.0061117937640279,0.032364100377978,0.0075216965087246,0.026976467348315,0.0050461350685251,0.016116460201032,0.015328954775778,0.099612342536092,0.011764442794791,0.0021127800456693,0.023174362895253,0.019316594022,0.0070717141331585,0.040130898569802,0.0096314653636164,0.020293571453381,0.034869268301136,0.016206421736292,0.0074438649450996,0.0019143457174577,0.049246263835289
film,0.012036611145414,0.038320468445087,0.084351448624491,0.024255637115805,0.020557291057138,0.060227719410529,0.002687236451701,0.014836816664589,0.088773922401719,0.015502859688923,0.036948607841378,1,0.028093832373913,0.030387079380786,0.012052421484804,0.030940102638878,0.040383003638477,0.0075848235561548,0.029691270324731,0.016014135208535,0.020058409835946,0.032971489760618,0.052339628441361,0.0074453353514245,0.039345700138971,0.035296506092891,0.025219813523672,0.061305018579694,0.027741483014303,0.0271724905499,0.023638208467136,0.023508382595374,0.022833947131257,0.10295863048774,0.0083750662901686,0.017757499866876,0.023277273500953,0.012246080613841,0.021904841958227,0.020481417582412,0.029114219765691,0.055495982738885,0.0088625618145323,0.019187239995539,0.033058694361324,0.021220213546847,0.011859907356092,0.035724560791635,0.015600931938763,0.021687612550005,0.1008752685313,0.059927104013042,0.056530881953433,0.040917603638532,0.042083862966739,0.019639082563976,0.014046117976499,0.043559792335998
technology,0.017505114804895,0.017144546229171,0.027713055632727,0.011246032380103,0.019349318387069,0.052737949304527,0.0055952406866215,0.0061519951403925,0.049069099797289,0.011523063518625,0.0063068871109172,0.028093832373913,1,0.027663350061661,0.034883628730986,0.0087154942795413,0.24989010595113,0.024803146726239,0.054695974077942,0.0097918975316711,0.011866790083178,0.016325648300196,0.030993309629683,0.029020372082181,0.010549459053863,0.025584659679399,0.017423243954682,0.027178668814822,0.037699910828405,0.013244852496632,0.011653786902592,0.016216832574881,0.019385021388253,0.029583167332585,0.020237953784355,0.0081997397164899,0.019514386785511,0.016007440342579,0.030862348911579,0.053950728698602,0.032123082817495,0.011275681723642,0.012102795678593,0.012304618818703,0.018054180814091,0.042996268835946,0.032590269274206,0.026483752337919,0.028165922541638,0.010944999284883,0.04736049197717,0.011112385132002,0.028566555660486,0.042120925384495,0.02567065355815,0.012229262512745,0.017897419819343,0.033638656556908
"life and style",0.029696481675506,0.014035923173315,0.020980016440554,0.034438003663469,0.032810473033556,0.036886984274967,0.0037848232226022,0.014948249024913,0.098852158069466,0.015602485217204,0.01455559593343,0.030387079380786,0.027663350061661,1,0.022737920799017,0.010522729179007,0.030653632640394,0.015739382181123,0.039939968449798,0.026708632839386,0.037336109776872,0.037133886289256,0.053144702933608,0.0057770038219056,0.03558254907913,0.078064020201621,0.051939739135764,0.036928709767043,0.030354400104338,0.02875826162957,0.030389279630342,0.025850237811027,0.034788233324305,0.039880795556609,0.05279825933039,0.030994772791283,0.045353870212667,0.027575116990307,0.034883482917325,0.023995607376912,0.051980430239573,0.041504482205062,0.031333669694578,0.015749112757783,0.044358578405321,0.029439116528289,0.02169652947763,0.023229442240545,0.018185460917688,0.050022665652795,0.044395684999234,0.0075995300980805,0.044387294142466,0.09336516416007,0.016470591481229,0.033194291645886,0.034728437894272,0.039596474884773
"television & radio",0.013138261063782,0.017684903079232,0.01848241781041,0.0038083661043319,0.017889150186926,0.009040535941171,0.011199675642652,0.014408543683116,0.044018862223856,0.0083405254623477,0.026470398468001,0.012052421484804,0.034883628730986,0.022737920799017,1,0.034499845429135,0.0072665043523759,0.010792304821706,0.021648350959295,0.021680468217668,0.006062595426391,0.0055356146429911,0.024342599897397,0.0019808796088941,0.0074884431947085,0.021917354693134,0.022155560742404,0.039660102997431,0.012703369668517,0.016566815361361,0.027465662894594,0.029125015780101,0.011064656453746,0.022430878268128,0.0076387021747396,0.009777718872382,0.018508518295752,0.016856088330924,0.010569354991757,0.0186099187995,0.028602052022754,0.0086005009983086,0.029339012558579,0.02441296727726,0.023218641653718,0.015610714827686,0.02604771719348,0.017878272109256,0.017464062160904,0.014258185168047,0.065037808671193,0.01427086149393,0.018765162758509,0.026414289776202,0.024375089650788,0.01736945344837,0.0068312525161631,0.019183979359193
technology,0.025421096363945,0.02050362599731,0.029325243595584,0.020348675977424,0.035504221333013,0.010464233700945,0.00072978402201952,0.0091065781811764,0.037883912291413,0.032213505898417,0.015295069808733,0.030940102638878,0.0087154942795413,0.010522729179007,0.034499845429135,1,0.013647258955855,0.0088494230313336,0.010980362111342,0.0049160181232108,0.018919640428596,0.021821216263086,0.021408226338182,0.012901495190329,0.0093950449905254,0.01580776320588,0.011613018385773,0.028806608834385,0.036359734837057,0.017663638465767,0.016516787079991,0.029181257351584,0.018330169115107,0.021636170676339,0.0068097318683292,0.0079553141913309,0.020430911193479,0.010576901082144,0.024217481848997,0.016957532232296,0.023086259916668,0.0040227528944094,0.016304396211959,0.016066094972752,0.019074162706222,0.038435955054293,0.23090226068265,0.016695422187851,0.023207870748816,0.012671622779223,0.050145244750916,0.0020155335724132,0.019798120812238,0.033776303727893,0.020569119358757,0.0087211196956272,0.0069890823920773,0.024529430601705
technology,0.017189653432206,0.012833150547306,0.012831223919392,0.0088928696588449,0.033317235184618,0.035076987806573,0.0024245733157476,0.0094897621588376,0.034301270840965,0.009890261129038,0.033854898409421,0.040383003638477,0.24989010595113,0.030653632640394,0.0072665043523759,0.013647258955855,1,0.013904846944814,0.028218236135296,0.0064949359636993,0.012934687345521,0.025425546735579,0.024918699948191,0.065137197479215,0.010237879177858,0.026248681463324,0.018728165405399,0.030429546833767,0.027902657456681,0.01516609042518,0.012877469192315,0.011937308371516,0.026929112816268,0.030388874585573,0.020779984765563,0.010004516245125,0.03159735122408,0.0068883963041632,0.019297487450171,0.040015158262101,0.042086776797903,0.0056202945599938,0.016169363124738,0.013314632069755,0.041665261890129,0.063120877932552,0.019394408155557,0.016426667873199,0.027733529827167,0.014316751565453,0.025420287169271,0.0084120085583628,0.031308281472545,0.04848572571573,0.015544686476466,0.021998532749751,0.017168284636307,0.017540364439816
"life and style",0.0056312748941274,0.023742841866212,0.03461525771469,0.011323935768777,0.017072198012697,0.019606452472129,0.0042338470857696,0.096074026990365,0.039575740107633,0.014319377204874,0.064356419004181,0.0075848235561548,0.024803146726239,0.015739382181123,0.010792304821706,0.0088494230313336,0.013904846944814,1,0.035299052094577,0.0064952947507566,0.0063446717551175,0.022731302341726,0.024164696624833,0.0035159267495529,0.016176598576655,0.014378248084192,0.019958213213452,0.033470326342365,0.025118553721874,0.017778160597764,0.0060511530920809,0.013059044283652,0.017470502196047,0.015806089339115,0.01676253176665,0.01227775529745,0.010927340121582,0.014865430442918,0.030028418427648,0.0097571776287174,0.022320590561993,0.0067074563217744,0.014721128584546,0.012537027243606,0.020379483941351,0.011499602532019,0.048344622692449,0.0069146076032205,0.0046555290029686,0.014816163801266,0.024691187742051,0.0034528976729797,0.019020402637053,0.020454413509247,0.0070665588349162,0.021548842934821,0.010818502064459,0.030255015626865
